id	name	description	street_id	obsolete
2	Гагарина	До 2011 года	11537	1
3	Дачная	До 2011 года	11591	1
4	Донская	До 2011 года	11624	1
5	Дорожная	До 2011 года	11626	1
6	Зеленая	До 2011 года	11692	1
7	Луговая	До 2011 года	12790	1
8	Мира	До 2011 года	11983	1
9	Мичурина	До 2011 года	11987	1
10	Молодежная	До 2011 года	11993	1
11	Нижняя	До 2011 года	12035	1
12	Первомайская	До 2011 года	12129	1
13	Полевая	До 2011 года	12172	1
14	Садовая	До 2011 года	12267	1
15	Сосновая	До 2011 года	12342	1
16	Тенистая	До 2011 года	12389	1
17	Школьная	До 2011 года	12514	1
18	Южная	До 2011 года	12532	1
19	Железнодорожная	До 2011 года	12722	1
20	Луговая	До 2011 года	12791	1
21	Садовая	До 2011 года	12860	1
22	Тихая	До 2011 года	12884	1
23	Солнечная	До 2011 года	12908	1
24	Веры Фигнер	До 2011 года	12572	1
25	Дзержинского	До 2011 года	12625	1
26	Калинина	До 2011 года	12630	1
27	Карла Маркса	До 2011 года	11723	1
28	Кирова	До 2011 года	12634	1
29	Комсомольская	До 2011 года	12636	1
30	Красноармейская	До 2011 года	12637	1
31	Ленина	До 2011 года	12640	1
32	Лесная	До 2011 года	12641	1
33	Лесной	До 2011 года	12642	1
34	Мичурина	До 2011 года	12644	1
35	Некрасова	До 2011 года	12645	1
36	Октябрьская	До 2011 года	12075	1
37	Орджоникидзе	До 2011 года	12646	1
38	Партизанский	До 2011 года	12647	1
39	Первомайская	До 2011 года	12648	1
40	Пионерская	До 2011 года	12649	1
41	Пограничная	До 2011 года	12164	1
42	Пролетарская	До 2011 года	12652	1
43	Свободы	До 2011 года	12655	1
44	Северная	До 2011 года	12656	1
45	Советская	До 2011 года	12657	1
46	Софьи Перовской	До 2011 года	12654	1
47	Спортивный	До 2011 года	12658	1
48	Фрунзе	До 2011 года	12660	1
49	Чапаева	До 2011 года	12661	1
50	Чкалова	До 2011 года	12663	1
51	Новая	До 2011 года	12042	1
52	Набережная	До 2011 года	12909	1
53	Ленина	До 2011 года	11878	1
54	Лесная	До 2011 года	12785	1
55	Луговая	До 2011 года	11928	1
56	Степная	До 2011 года	12368	1
57	9 Января	До 2011 года	11343	1
58	Гагарина	До 2011 года	11540	1
59	Зеленая	До 2011 года	11690	1
60	Калинина	До 2011 года	11735	1
61	Кирова	До 2011 года	11759	1
62	Ленина	До 2011 года	11880	1
63	Лесная	До 2011 года	11894	1
64	Лесной	До 2011 года	11897	1
65	Мира	До 2011 года	11984	1
66	Молодежная	До 2011 года	12706	1
67	Новый	До 2011 года	12056	1
68	Октябрьская	До 2011 года	12078	1
69	Пионерский	До 2011 года	12150	1
70	Победы	До 2011 года	12161	1
71	Пугачева	До 2011 года	12212	1
72	Речной	До 2011 года	12249	1
73	Садовая	До 2011 года	12269	1
74	Садовый	До 2011 года	12273	1
75	Свободы	До 2011 года	12288	1
76	Строителей	До 2011 года	12710	1
77	Черняховского	До 2011 года	12495	1
78	9 Января	До 2011 года	11345	1
79	Гагарина	До 2011 года	11541	1
80	Донская	До 2011 года	11623	1
81	Заводская	До 2011 года	11670	1
82	Космонавтов	До 2011 года	11811	1
83	Ленина	До 2011 года	11881	1
84	Лесной	До 2011 года	11898	1
85	Молодежная	До 2011 года	11994	1
86	Набережная	До 2011 года	12014	1
87	Набережный	До 2011 года	12018	1
88	Песчаная	До 2011 года	12138	1
89	Свободы	До 2011 года	12289	1
90	Советская	До 2011 года	12330	1
91	Школьная	До 2011 года	12516	1
92	Придонская	До 2011 года	12845	1
93	Садовая	До 2011 года	12270	1
94	8 Марта	До 2011 года	12910	1
95	Космонавтов	До 2011 года	11812	1
96	Ленина	До 2011 года	11882	1
97	Луговой	До 2011 года	12793	1
98	Набережная	До 2011 года	12822	1
99	Октябрьская	До 2011 года	12079	1
100	Солнечный	До 2011 года	12874	1
101	Солнечный	До 2011 года	12900	1
102	Осенняя	До 2011 года	12830	1
103	Депутатская	До 2011 года	12711	1
104	Комарова	До 2011 года	12756	1
105	Космонавтов	До 2011 года	12774	1
106	Лесная	До 2011 года	12784	1
107	Первомайская	До 2011 года	12834	1
108	Садовая	До 2011 года	12859	1
109	Свободы	До 2011 года	12867	1
110	Гагарина	До 2011 года	11538	1
111	Краснолесненская	До 2011 года	11832	1
112	Платонова	До 2011 года	12157	1
113	Юбилейная	До 2011 года	12531	1
114	Зеленый	До 2011 года	12729	1
115	Набережная	До 2011 года	12015	1
